,h,m,s,RA,d,m.1,s.1,DEC,F60,F100,Td,B,M,Av
0,4,40,20.32,70.0846666666667,45,12,36.8,45.2102222222222,4.9004,23.223,23.3579230957261,8.397449786868339e-16,2.62465339352529e+28,5.6194104108509e-05
1,4,40,19.95,70.083125,45,11,9.7,45.1860277777778,4.8348,22.769,23.3935895156916,8.476872230083201e-16,2.59867076795982e+28,5.457936966923871e-05
2,4,40,22.2,70.0925,45,9,42.5,45.1618055555556,5.0315,22.565,23.6755852824998,9.12280207659841e-16,2.41338037691184e+28,5.026066364921533e-05
3,4,40,21.08,70.0878333333333,45,8,3.5,45.1343055555556,5.845,22.914,24.4879867972691,1.1166844286569602e-15,1.97042104725358e+28,4.1695908601702136e-05
4,4,40,23.71,70.0987916666667,45,2,15.1,45.0375277777778,4.9721,22.856,23.5322985220515,8.79058859374009e-16,2.49769452084662e+28,5.283270505429538e-05
5,4,40,24.84,70.1035,45,0,36.1,45.0100277777778,4.916,22.833,23.4728021254586,8.6550811562824e-16,2.53525045796029e+28,5.360585649638594e-05
6,4,40,11.69,70.0487083333333,45,14,3.8,45.2343888888889,4.8216,23.188,23.274661472586,8.21400949854043e-16,2.6847030739465e+28,5.736244871767937e-05
7,4,40,11.7,70.04875,45,12,28.8,45.208,4.7587,22.789,23.2985304062673,8.26631599607015e-16,2.66615887137244e+28,5.601871580385165e-05
8,4,40,11.71,70.0487916666667,45,11,5.6,45.1848888888889,4.668,22.538,23.2524332370682,8.165501030676549e-16,2.69769665897853e+28,5.6085733665001136e-05
9,4,40,13.59,70.056625,45,9,26.6,45.1573888888889,4.6713,22.023,23.3873788652549,8.46300581735613e-16,2.60127888648508e+28,5.2877681517848885e-05
10,4,40,13.59,70.056625,45,7,55.6,45.1321111111111,5.0248,22.147,23.7774165494145,9.36397689459089e-16,2.34967636610868e+28,4.8059160912439225e-05
11,4,40,13.23,70.055125,45,6,16.6,45.1046111111111,5.2378,22.588,23.9064936480709,9.67579495945107e-16,2.27256869267126e+28,4.743652526895126e-05
12,4,40,14.36,70.0598333333334,45,5,1.3,45.0836944444445,5.143,22.982,23.6966657771601,9.17238107248204e-16,2.39618387661596e+28,5.0912769607891484e-05
13,4,40,15.86,70.0660833333333,45,3,38.2,45.0606111111111,4.9546,22.918,23.4963883461694,8.70863021964239e-16,2.52249294628246e+28,5.347456995463684e-05
14,4,40,15.12,70.063,45,2,3.1,45.0341944444445,4.7811,22.256,23.460014348619,8.626141738178801e-16,2.5451216316182e+28,5.242653874981684e-05
15,4,40,15.5,70.0645833333333,45,0,28.1,45.0078055555556,4.7769,22.172,23.4766666580934,8.66383970896964e-16,2.53256244905596e+28,5.2001421650182955e-05
16,4,40,19.61,70.0817083333333,44,59,8.9,44.9858055555556,4.8142,23.029,23.3048595831494,8.28022362542236e-16,2.64859874603875e+28,5.651357608316143e-05
17,4,40,2.3,70.0095833333333,45,15,22.9,45.2563611111111,4.9205,23.201,23.3866081561086,8.46128614127633e-16,2.60750999791528e+28,5.5717326664095346e-05
18,4,40,1.94,70.0080833333333,45,13,59.7,45.23325,4.8305,23.011,23.3284299118086,8.33215639467341e-16,2.64656834160588e+28,5.611745166733684e-05
19,4,40,3.08,70.0128333333334,45,12,0.9,45.20025,4.7884,22.827,23.3243187529468,8.32308236191022e-16,2.64752078289548e+28,5.572942891374222e-05
20,4,40,3.09,70.012875,45,11,1.5,45.18375,4.692,22.333,23.333056129384,8.34237527477618e-16,2.64043379794219e+28,5.439732941792119e-05
21,4,40,4.6,70.0191666666667,45,9,22.6,45.1562777777778,4.4806,21.668,23.2433833009109,8.145807330095459e-16,2.70250642815596e+28,5.405115812717742e-05
22,4,40,5.36,70.0223333333333,45,7,39.6,45.1276666666667,4.5275,21.834,23.2590447750346,8.179908933138249e-16,2.68953464820831e+28,5.423817989369528e-05
23,4,40,5.37,70.022375,45,6,16.5,45.1045833333333,4.639,22.121,23.322727374447,8.31957171769395e-16,2.64303210619239e+28,5.402864816461683e-05
24,4,40,6.13,70.0255416666667,45,5,1.2,45.0836666666667,4.9028,22.634,23.5076622860638,8.734305023111101e-16,2.51636484368055e+28,5.265669176679477e-05
25,4,40,5.77,70.0240416666667,45,3,22.2,45.0561666666667,4.8655,22.523,23.4920108547074,8.698674875751169e-16,2.52513077077035e+28,5.261308417259247e-05
26,4,40,7.28,70.0303333333333,45,1,59.1,45.0330833333333,4.6433,21.866,23.3938893724696,8.47754210455698e-16,2.58967021191867e+28,5.2410711455230796e-05
27,4,40,7.66,70.0319166666667,45,0,20.1,45.0055833333333,4.6449,21.676,23.4457201231378,8.59387074854383e-16,2.55305582315422e+28,5.12520502291558e-05
28,4,40,9.53,70.0397083333333,44,59,8.8,44.9857777777778,4.6826,22.333,23.3216886118215,8.31728070820381e-16,2.63679646493868e+28,5.456145038618132e-05
29,4,39,52.93,69.9705416666667,45,15,18.8,45.2552222222222,4.9827,23.149,23.4712640718119,8.651596988521e-16,2.55008792239939e+28,5.4369607215720706e-05
30,4,39,53.7,69.97375,45,13,43.7,45.2288055555556,4.9046,23.005,23.4165408114208,8.52824876810307e-16,2.58546100423056e+28,5.481286750486092e-05
31,4,39,53.71,69.9737916666667,45,12,8.7,45.2024166666667,4.8982,22.908,23.4332291413974,8.56573780971118e-16,2.57264351188257e+28,5.434287923078429e-05
32,4,39,54.86,69.9785833333333,45,10,17.8,45.1716111111111,4.7008,22.28,23.357182161275,8.39580523615565e-16,2.62292551962924e+28,5.392289116001869e-05
33,4,39,55.99,69.9832916666667,45,9,10.5,45.1529166666667,4.4667,21.57,23.2514109525118,8.16327480269087e-16,2.69652298028352e+28,5.369157170753702e-05
34,4,39,56.75,69.9864583333333,45,8,3.2,45.1342222222222,4.4367,21.459,23.2425181983949,8.143926459840939e-16,2.70181029954082e+28,5.354218095854346e-05
35,4,39,57.15,69.988125,45,6,20.3,45.1056388888889,4.5434,21.607,23.3379614029987,8.35321984839624e-16,2.6324471463305e+28,5.256070652182032e-05
36,4,39,57.16,69.9881666666667,45,4,45.2,45.0792222222222,4.7041,22.09,23.409959763264,8.51349556142957e-16,2.58137579663048e+28,5.272400598654858e-05
37,4,39,57.18,69.98825,45,3,18.1,45.0550277777778,4.7174,22.064,23.4328223629221,8.564822688819719e-16,2.56452902447739e+28,5.2346367890088175e-05
38,4,39,59.06,69.9960833333333,45,2,6.9,45.03525,4.5138,21.514,23.3253570021951,8.32537332283606e-16,2.63713033359939e+28,5.2509525345634245e-05
39,4,40,0.94,70.0039166666667,45,0,31.9,45.0088611111111,4.4876,21.728,23.2366086683496,8.13108609800786e-16,2.69856073838636e+28,5.4298952258169386e-05
40,4,40,1.33,70.0055416666667,44,58,45.0,44.9791666666667,4.462,22.232,23.0765696323005,7.78856453858548e-16,2.81537801783437e+28,5.8001678734265205e-05
41,4,40,1.34,70.0055833333333,44,57,41.6,44.9615555555556,4.65,23.299,23.0455050710203,7.72323872664933e-16,2.83807979931103e+28,6.129944729571513e-05
42,4,39,45.06,69.93775,45,14,58.8,45.2496666666667,5.0135,23.314,23.4658705391365,8.63938646706114e-16,2.5533786097045e+28,5.483451805343709e-05
43,4,39,45.45,69.939375,45,13,27.7,45.2243611111111,4.979,23.195,23.4556197561721,8.61621168247105e-16,2.55881456139444e+28,5.4701367815268576e-05
44,4,39,45.1,69.9379166666667,45,12,4.5,45.20125,4.8627,22.905,23.3924426661785,8.47431052054211e-16,2.60033202543135e+28,5.492196207657063e-05
45,4,39,46.61,69.9442083333333,45,10,41.4,45.1781666666667,4.6597,22.214,23.3241831280542,8.32278312882609e-16,2.64632243371855e+28,5.4234852085444096e-05
